# 総当り(H&A) 全172クラブ / 90試合 / DT=0.1 / 26s

## リーグ全体シュート成功率
FG 914/2098 (43.6%)  |  3P 68/299 (22.7%)  |  2P(含レイアップ/ダンク) 846/1799 (47.0%)  |  FT 153/173 (88.4%)

## チーム順位 (勝-敗[-分], 得失点差)
 81. レアル・ポトシ            0-0  diff +0  (PF 0 / PA 0, 0g)
 82. クラブ・ボリバル           0-0  diff +0  (PF 0 / PA 0, 0g)
 83. スパルタク・モスクワ         0-0  diff +0  (PF 0 / PA 0, 0g)
 84. ゼニト                0-0  diff +0  (PF 0 / PA 0, 0g)
 85. ルビン・カザン            0-0  diff +0  (PF 0 / PA 0, 0g)
 86. PAOKテッサロニキ         0-0  diff +0  (PF 0 / PA 0, 0g)
 87. AEKアテネ             0-0  diff +0  (PF 0 / PA 0, 0g)
 88. アトレチコ・ジュニオール       0-0  diff +0  (PF 0 / PA 0, 0g)
 89. オンセ・カルダス           0-0  diff +0  (PF 0 / PA 0, 0g)
 90. スパルタ・プラハ           0-0  diff +0  (PF 0 / PA 0, 0g)
 91. スラビア・プラハ           0-0  diff +0  (PF 0 / PA 0, 0g)
 92. ブレーメン              0-0  diff +0  (PF 0 / PA 0, 0g)
 93. バイエルン・ミュンヘン        0-0  diff +0  (PF 0 / PA 0, 0g)
 94. クラブ・ブルージュ          0-0  diff +0  (PF 0 / PA 0, 0g)
 95. アンデルレヒト            0-0  diff +0  (PF 0 / PA 0, 0g)
 96. シャフタール・ドネツク        0-0  diff +0  (PF 0 / PA 0, 0g)
 97. CSエメルク             0-0  diff +0  (PF 0 / PA 0, 0g)
 98. FCバーゼル             0-0  diff +0  (PF 0 / PA 0, 0g)
 99. AIKソルナ             0-0  diff +0  (PF 0 / PA 0, 0g)
100. FCコペンハーゲン          0-0  diff +0  (PF 0 / PA 0, 0g)
101. ガラタサライ             0-0  diff +0  (PF 0 / PA 0, 0g)
102. ローゼンボリ             0-0  diff +0  (PF 0 / PA 0, 0g)
103. HJKヘルシンキ           0-0  diff +0  (PF 0 / PA 0, 0g)
104. カラカスFC             0-0  diff +0  (PF 0 / PA 0, 0g)
105. ディナモ・ブカレスト         0-0  diff +0  (PF 0 / PA 0, 0g)
106. フルハム               0-1  diff -1  (PF 6 / PA 7, 1g)
107. ASローマ              0-1  diff -1  (PF 11 / PA 12, 1g)
108. バーリ                0-1  diff -1  (PF 12 / PA 13, 1g)
109. AZアルクマール           0-1  diff -1  (PF 9 / PA 10, 1g)
110. マンチェスター・C          0-1  diff -2  (PF 11 / PA 13, 1g)
111. ウェストブロムウィッチ        0-1  diff -2  (PF 8 / PA 10, 1g)
112. ウエスト・ハム・U          0-1  diff -2  (PF 14 / PA 16, 1g)
113. ナポリ                0-1  diff -2  (PF 10 / PA 12, 1g)
114. フィオレンティーナ          0-1  diff -2  (PF 12 / PA 14, 1g)
115. キエーヴォ              0-1  diff -2  (PF 16 / PA 18, 1g)
116. エスパニョール            0-1  diff -2  (PF 14 / PA 16, 1g)
117. ビジャレアル             0-1  diff -2  (PF 15 / PA 17, 1g)
118. ラシン・サンタンデール        0-1  diff -2  (PF 10 / PA 12, 1g)
119. パリ・サンジェルマン         0-1  diff -2  (PF 11 / PA 13, 1g)
120. バーミンガム・シティ         0-1  diff -3  (PF 9 / PA 12, 1g)
121. ストーク・シティ           0-1  diff -3  (PF 8 / PA 11, 1g)
122. ボローニャ              0-1  diff -3  (PF 10 / PA 13, 1g)
123. パルマ                0-1  diff -3  (PF 9 / PA 12, 1g)
124. エルクレス              0-1  diff -3  (PF 10 / PA 13, 1g)
125. バレンシア              0-1  diff -3  (PF 11 / PA 14, 1g)
126. デポルティボ・タチラ         0-1  diff -3  (PF 11 / PA 14, 1g)
127. レバンテ               0-1  diff -3  (PF 4 / PA 7, 1g)
128. デ・フラーフスハプ          0-1  diff -3  (PF 9 / PA 12, 1g)
129. ウィガン               0-1  diff -4  (PF 6 / PA 10, 1g)
130. インテル               0-1  diff -4  (PF 11 / PA 15, 1g)
131. レアル・サラゴサ           0-1  diff -4  (PF 11 / PA 15, 1g)
132. アトレチコ・マドリッド        0-1  diff -4  (PF 14 / PA 18, 1g)
133. アルメリア              0-1  diff -4  (PF 8 / PA 12, 1g)
134. ヴァランシアンヌ           0-1  diff -4  (PF 11 / PA 15, 1g)
135. ラツィオ               0-1  diff -5  (PF 8 / PA 13, 1g)
136. カターニャ              0-1  diff -5  (PF 6 / PA 11, 1g)
137. チェゼーナ              0-1  diff -5  (PF 10 / PA 15, 1g)
138. PSVアイントホーヘン        0-1  diff -5  (PF 10 / PA 15, 1g)
139. FCトゥウェンテ           0-1  diff -5  (PF 8 / PA 13, 1g)
140. チェルシー              0-1  diff -6  (PF 12 / PA 18, 1g)
141. サンダーランド            0-1  diff -6  (PF 10 / PA 16, 1g)
142. ジェノア               0-1  diff -6  (PF 10 / PA 16, 1g)
143. スポルティング・ヒホン        0-1  diff -6  (PF 9 / PA 15, 1g)
144. マラガ                0-1  diff -6  (PF 4 / PA 10, 1g)
145. デポルティボ・イタリア        0-1  diff -6  (PF 7 / PA 13, 1g)
146. デポルティボ・クエンカ        0-1  diff -6  (PF 4 / PA 10, 1g)
147. ウィレムⅡ              0-1  diff -6  (PF 4 / PA 10, 1g)
148. リールOSC             0-1  diff -6  (PF 12 / PA 18, 1g)
149. フェイエノールト           0-1  diff -7  (PF 11 / PA 18, 1g)
150. エクセルシオール           0-1  diff -7  (PF 6 / PA 13, 1g)
151. ヘラクレス              0-1  diff -7  (PF 7 / PA 14, 1g)
152. サンテティエンヌ           0-1  diff -7  (PF 11 / PA 18, 1g)
153. ブレシア               0-1  diff -8  (PF 6 / PA 14, 1g)
154. ローダJC              0-1  diff -8  (PF 10 / PA 18, 1g)
155. フローニンヘン            0-1  diff -8  (PF 7 / PA 15, 1g)
156. NECナイメーヘン          0-1  diff -8  (PF 7 / PA 15, 1g)
157. ヘーレンフェーン           0-1  diff -8  (PF 4 / PA 12, 1g)
158. フィテッセ              0-1  diff -8  (PF 4 / PA 12, 1g)
159. アストン・ヴィラ           0-1  diff -9  (PF 11 / PA 20, 1g)
160. パレルモ               0-1  diff -9  (PF 8 / PA 17, 1g)
161. セビージャ              0-1  diff -9  (PF 8 / PA 17, 1g)
162. レアル・ソシエダ           0-1  diff -9  (PF 2 / PA 11, 1g)
163. デポルティボ・キト          0-1  diff -9  (PF 6 / PA 15, 1g)
164. インテルナシオナル          0-1  diff -10  (PF 10 / PA 20, 1g)
165. レアル・マドリッド          0-1  diff -10  (PF 9 / PA 19, 1g)
166. ビルバオ               0-1  diff -10  (PF 4 / PA 14, 1g)
167. ブラックバーン            0-1  diff -11  (PF 6 / PA 17, 1g)
168. ADOデンハーグ           0-1  diff -11  (PF 4 / PA 15, 1g)
169. トットナム              0-1  diff -12  (PF 5 / PA 17, 1g)
170. ニューカッスル            0-1  diff -12  (PF 4 / PA 16, 1g)
171. ユトレヒト              0-1  diff -12  (PF 0 / PA 12, 1g)
172. カーン                0-1  diff -16  (PF 2 / PA 18, 1g)

## 個人スタッツ・リーダー (per game は 150試合以上)
== 得点/試合 (PPG) ==

== リバウンド/試合 (RPG) ==

== アシスト/試合 (APG) ==

== スティール/試合 (SPG) ==

== ブロック/試合 (BPG) ==

== 通算得点 (total PTS) ==
 1. セスク              アーセナル               268  (90g)
 2. アルシャヴィン          アーセナル               242  (90g)
 3. ファン・ベルシー         アーセナル               166  (90g)
 4. フェルマーレン          アーセナル               127  (90g)
 5. キャンベル            アーセナル               100  (90g)
 6. エドゥアルド・ダ・シルヴァ    アーセナル                79  (90g)
 7. シャマク             アーセナル                75  (90g)
 8. ロシツキー            アーセナル                53  (88g)
 9. シルベストル           アーセナル                31  (90g)
10. ラムジー             アーセナル                17  (84g)
11. ギャラス             アーセナル                 8  (20g)
12. ジェダ              カリアリ                  8  (1g)
13. ニウマール            ビジャレアル                8  (1g)
14. ドログバ             チェルシー                 7  (1g)
15. パッツィーニ           サンプドリア                7  (1g)
16. ラスムス・エルム         AZアルクマール              7  (1g)
17. リヴィエール           サンテティエンヌ              7  (1g)
18. ルーニー             マンチェスター・U             6  (1g)
19. フェルナンド・トーレス      リヴァプール                6  (1g)
20. トゥンジャイ・シャンル      ストーク・シティ              6  (1g)
21. ミリヤシュ            ウォルバーハンプトン            6  (1g)
22. ゲディウラ            ウォルバーハンプトン            6  (1g)
23. アダイウトン           ボローニャ                 6  (1g)
24. ルイス・エドゥ          インテルナシオナル             6  (1g)
25. サンマルコ            サンプドリア                6  (1g)
26. イニエスタ            バルセロナ                 6  (1g)
27. ヤロシク             レアル・サラゴサ              6  (1g)
28. フォルラン            アトレチコ・マドリッド           6  (1g)
29. ハドイール            ローダJC                 6  (1g)
30. アフェライ            PSVアイントホーヘン           6  (1g)
